"","var.WHO","division","month","monthly_VOC_cases","total_monthly_VOC_cases","prop","date.smooth"
"233","Other","Newfoundland and Labrador","2022-02",0,0,0,2022-02-01
"234","Other","Newfoundland and Labrador","2022-03",0,0,0,2022-03-01
"235","Alpha","Ontario","2020-02",0,0,0,2020-02-01
"236","Alpha","Ontario","2020-03",0,0,0,2020-03-01
"237","Alpha","Ontario","2020-04",0,0,0,2020-04-01
"238","Alpha","Ontario","2020-05",0,0,0,2020-05-01
"239","Alpha","Ontario","2020-06",0,0,0,2020-06-01
"240","Alpha","Ontario","2020-07",0,0,0,2020-07-01
"241","Alpha","Ontario","2020-08",0,0,0,2020-08-01
"242","Alpha","Ontario","2020-09",0,0,0,2020-09-01
"243","Alpha","Ontario","2020-10",0,0,0,2020-10-01
"244","Alpha","Ontario","2020-11",57.8769763713983,106.982615782848,0.540994216190003,2020-11-01
"245","Alpha","Ontario","2020-12",311.445513580132,893.285312909108,0.348651779089333,2020-12-01
"246","Alpha","Ontario","2021-01",12886.7597561993,14121.0264300352,0.912593699901966,2021-01-01
"247","Alpha","Ontario","2021-02",18496.828113271,24895.2732713511,0.742985542342159,2021-02-01
"248","Alpha","Ontario","2021-03",20504.9836997314,47454.6592045562,0.432096321908951,2021-03-01
"249","Alpha","Ontario","2021-04",37472.2231575272,99001.8192477188,0.378500349208387,2021-04-01
"250","Alpha","Ontario","2021-05",40320.2677849585,95273.9220724928,0.423203610262621,2021-05-01
"251","Alpha","Ontario","2021-06",8124.69413782104,20120.6741526306,0.403798305970717,2021-06-01
"252","Alpha","Ontario","2021-07",756.775148686281,3292.05256915152,0.229879424094776,2021-07-01
"253","Alpha","Ontario","2021-08",129.099356192268,1508.82377733938,0.0855629120717586,2021-08-01
"254","Alpha","Ontario","2021-09",23.6017061702887,732.072013374136,0.0322395962953261,2021-09-01
"255","Alpha","Ontario","2021-10",5.08115601067634,71.1931888106877,0.0713713782955813,2021-10-01
"256","Alpha","Ontario","2021-11",7.88670815970014,208.546919110898,0.0378174282953864,2021-11-01
"257","Alpha","Ontario","2021-12",0,0,0,2021-12-01
"258","Alpha","Ontario","2022-01",0,0,0,2022-01-01
"259","Alpha","Ontario","2022-02",0,0,0,2022-02-01
"260","Alpha","Ontario","2022-03",0,0,0,2022-03-01
"261","Alpha","Quebec","2020-02",0,0,0,2020-02-01
"262","Alpha","Quebec","2020-03",0,0,0,2020-03-01
"263","Alpha","Quebec","2020-04",0,0,0,2020-04-01
"264","Alpha","Quebec","2020-05",0,0,0,2020-05-01
"265","Alpha","Quebec","2020-06",0,0,0,2020-06-01
"266","Alpha","Quebec","2020-07",0,0,0,2020-07-01
"267","Alpha","Quebec","2020-08",0,0,0,2020-08-01
"268","Alpha","Quebec","2020-09",0,0,0,2020-09-01
"269","Alpha","Quebec","2020-10",0,0,0,2020-10-01
"270","Alpha","Quebec","2020-11",49.1056394114499,106.982615782848,0.459005783809997,2020-11-01
"271","Alpha","Quebec","2020-12",24.9987136163645,893.285312909108,0.0279851389641152,2020-12-01
"272","Alpha","Quebec","2021-01",183.696433621434,14121.0264300352,0.0130087167906375,2021-01-01
"273","Alpha","Quebec","2021-02",2366.58502519784,24895.2732713511,0.0950616207101954,2021-02-01
"274","Alpha","Quebec","2021-03",11232.4031263299,47454.6592045562,0.236697582800288,2021-03-01
"275","Alpha","Quebec","2021-04",25462.5714393474,99001.8192477188,0.257192965066994,2021-04-01
