"","month","total_monthly_VOC_cases","total_VOC_seqs","seq.take","VOC","seqpercase","sum.take","sum.avail","sum.cases","prop.cases","prop.take","prop.avail"
"60","2021-06",4642717.53934447,147639,1022,"Delta",0.000220129695881585,25000,3921060,111460424.76995,0.0416535066049394,0.04088,0.0376528285718658
"61","2021-07",10471578.1670709,451782,2306,"Delta",0.000220215135026303,25000,3921060,111460424.76995,0.0939488449706146,0.09224,0.115219353950207
"62","2021-08",18130743.3377805,742281,3992,"Delta",0.00022017850705997,25000,3921060,111460424.76995,0.162665299142737,0.15968,0.18930620801518
"63","2021-09",16065983.0194627,638806,3536,"Delta",0.000220092352625819,25000,3921060,111460424.76995,0.144140694355169,0.14144,0.16291666029084
"64","2021-10",13028248.7605403,603444,2867,"Delta",0.000220060274615228,25000,3921060,111460424.76995,0.116886767544894,0.11468,0.153898180594023
"65","2021-11",15086608.615905,744104,3320,"Delta",0.000220062711542732,25000,3921060,111460424.76995,0.13535394869563,0.1328,0.189771133315991
"66","2021-12",14215987.4277882,496150,3129,"Delta",0.000220104302701035,25000,3921060,111460424.76995,0.127542914510953,0.12516,0.126534661545602
"67","2022-01",5710244.05538369,39088,1256,"Delta",0.000219955572444549,25000,3921060,111460424.76995,0.0512311348819046,0.05024,0.00996873294466292
"68","2022-02",370609.364795233,1253,81,"Delta",0.000218558967188413,25000,3921060,111460424.76995,0.00332503097453788,0.00324,0.000319556446471107
"69","2022-03",31998.0385834169,26,7,"Delta",0.000218763408943065,25000,3921060,111460424.76995,0.000287079819132751,0.00028,6.63086002254492e-06
"70","2020-04",94.6560099163895,2,2,"Epsilon",0.0211291390981578,25000,63369,3217458.69686783,2.94194949599621e-05,8e-05,3.15611734444287e-05
"71","2020-07",148.209142466114,3,3,"Epsilon",0.0202416662702566,25000,63369,3217458.69686783,4.60640388671948e-05,0.00012,4.7341760166643e-05
"72","2020-08",244.089909631943,2,2,"Epsilon",0.00819370207894193,25000,63369,3217458.69686783,7.58641936474778e-05,8e-05,3.15611734444287e-05
"73","2020-09",2960.48102521676,16,16,"Epsilon",0.00540452712370569,25000,63369,3217458.69686783,0.000920130234491824,0.00064,0.000252489387555429
