"","month","total_monthly_VOC_cases","total_VOC_seqs","seq.take","VOC","seqpercase","sum.take","sum.avail","sum.cases","prop.cases","prop.take","prop.avail"
"65","2021-04",1219.31171932985,285,285,"Epsilon",0.233738424294519,752,752,5774.29511909737,0.211162002319073,0.378989361702128,0.378989361702128
"66","2021-05",652.742188204493,117,117,"Epsilon",0.179243814961361,752,752,5774.29511909737,0.113042748030954,0.155585106382979,0.155585106382979
"67","2021-06",26.9187111529435,8,8,"Epsilon",0.297191048804178,752,752,5774.29511909737,0.00466181769336919,0.0106382978723404,0.0106382978723404
"68","2021-07",1.24288330459639,1,1,"Epsilon",0.804580764985605,752,752,5774.29511909737,0.000215244160362672,0.00132978723404255,0.00132978723404255
"69","2020-12",428.029850822182,5,5,"Eta",0.0116814282704716,1800,1800,19044.1206259388,0.022475695214784,0.00277777777777778,0.00277777777777778
"70","2021-01",561.398676021892,12,12,"Eta",0.0213751840047661,1800,1800,19044.1206259388,0.029478844786209,0.00666666666666667,0.00666666666666667
"71","2021-02",809.157390968947,112,112,"Eta",0.138415592874808,1800,1800,19044.1206259388,0.0424885667793368,0.0622222222222222,0.0622222222222222
"72","2021-03",2585.14745234848,536,536,"Eta",0.207338269820188,1800,1800,19044.1206259388,0.135745173175778,0.297777777777778,0.297777777777778
"73","2021-04",7736.73548685733,722,722,"Eta",0.0933210139116798,1800,1800,19044.1206259388,0.406253228427865,0.401111111111111,0.401111111111111
"74","2021-05",6541.97959347695,273,273,"Eta",0.0417304878590893,1800,1800,19044.1206259388,0.343517021445796,0.151666666666667,0.151666666666667
"75","2021-06",279.155056337854,131,131,"Eta",0.469273248059867,1800,1800,19044.1206259388,0.0146583327117575,0.0727777777777778,0.0727777777777778
"76","2021-07",45.3377335437303,6,6,"Eta",0.132340095788263,1800,1800,19044.1206259388,0.00238066826157248,0.00333333333333333,0.00333333333333333
"77","2021-10",2.00968949725958,1,1,"Eta",0.497589304896903,1800,1800,19044.1206259388,0.000105528080646701,0.000555555555555556,0.000555555555555556
"78","2021-11",55.1696960641937,2,2,"Eta",0.0362517857207853,1800,1800,19044.1206259388,0.00289694111625456,0.00111111111111111,0.00111111111111111
"79","2020-12",396.547459494309,1,1,"Gamma",0.00252176625031272,13488,13488,94582.1894173306,0.00419262296566851,7.41399762752076e-05,7.41399762752076e-05
