"","REF_DATE","year","month","monthyear","Observed","MonthlyAve_exp","MonthlyAve_obs","Expected (no ban)","Observed, smooth (ban)"
"1063",2020-11-28,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,6.79076340089996,1.6736035546095
"1064",2020-11-29,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,6.98805538913786,1.78800747296815
"1065",2020-11-30,"2020","Nov","Nov 2020",1,4.85805952028333,0.5,7.19013630574612,1.9036398786056
"1066",2020-12-01,"2020","Dec","Dec 2020",0,10.5026508007845,3.48387096774194,7.396574723303,2.0200571340773
"1067",2020-12-02,"2020","Dec","Dec 2020",0,10.5026508007845,3.48387096774194,7.60693921433501,2.13681560190956
"1068",2020-12-03,"2020","Dec","Dec 2020",2,10.5026508007845,3.48387096774194,7.82079835142007,2.25347164465779
"1069",2020-12-04,"2020","Dec","Dec 2020",0,10.5026508007845,3.48387096774194,8.03772070711907,2.36958162486773
"1070",2020-12-05,"2020","Dec","Dec 2020",5,10.5026508007845,3.48387096774194,8.25727485399293,2.48470190508509
"1071",2020-12-06,"2020","Dec","Dec 2020",1,10.5026508007845,3.48387096774194,8.47902936460255,2.59838884785562
"1072",2020-12-07,"2020","Dec","Dec 2020",2,10.5026508007845,3.48387096774194,8.70255281150883,2.71019881572505
"1073",2020-12-08,"2020","Dec","Dec 2020",1,10.5026508007845,3.48387096774194,8.92741376729144,2.81968817124812
"1074",2020-12-09,"2020","Dec","Dec 2020",0,10.5026508007845,3.48387096774194,9.15318080447383,2.9264132769523
"1075",2020-12-10,"2020","Dec","Dec 2020",4,10.5026508007845,3.48387096774194,9.37942249563556,3.02993049539255
"1076",2020-12-11,"2020","Dec","Dec 2020",0,10.5026508007845,3.48387096774194,9.60570741333755,3.1297961891146
"1077",2020-12-12,"2020","Dec","Dec 2020",13,10.5026508007845,3.48387096774194,9.83160413014069,3.22556672066418
"1078",2020-12-13,"2020","Dec","Dec 2020",1,10.5026508007845,3.48387096774194,10.0566812186059,3.31679845258702
"1079",2020-12-14,"2020","Dec","Dec 2020",4,10.5026508007845,3.48387096774194,10.2805072512941,3.40304774742887
