"","REF_DATE","year","month","monthyear","Observed","MonthlyAve_exp","MonthlyAve_obs","Expected (no ban)","Observed, smooth (ban)"
"136",2018-05-16,"2018","May","May 2018",315,342.174801627393,334.064516129032,346.698087337174,338.834887859585
"137",2018-05-17,"2018","May","May 2018",420,342.174801627393,334.064516129032,351.145459622991,343.513700494005
"138",2018-05-18,"2018","May","May 2018",327,342.174801627393,334.064516129032,355.507613302751,348.092254501305
"139",2018-05-19,"2018","May","May 2018",387,342.174801627393,334.064516129032,359.775243193984,352.561850350098
"140",2018-05-20,"2018","May","May 2018",328,342.174801627393,334.064516129032,363.939044114217,356.913788508999
"141",2018-05-21,"2018","May","May 2018",281,342.174801627393,334.064516129032,367.989710881312,361.139369446967
"142",2018-05-22,"2018","May","May 2018",345,342.174801627393,334.064516129032,371.917938312125,365.229893631914
"143",2018-05-23,"2018","May","May 2018",353,342.174801627393,334.064516129032,375.714421224524,369.176661532809
"144",2018-05-24,"2018","May","May 2018",408,342.174801627393,334.064516129032,379.369854436041,372.970973618267
"145",2018-05-25,"2018","May","May 2018",358,342.174801627393,334.064516129032,382.874932764203,376.604130356902
"146",2018-05-26,"2018","May","May 2018",292,342.174801627393,334.064516129032,386.220351026539,380.067432217328
"147",2018-05-27,"2018","May","May 2018",287,342.174801627393,334.064516129032,389.396804040836,383.352179668423
"148",2018-05-28,"2018","May","May 2018",294,342.174801627393,334.064516129032,392.394986624093,386.449673178255
"149",2018-05-29,"2018","May","May 2018",438,342.174801627393,334.064516129032,395.205593594111,389.351213215719
"150",2018-05-30,"2018","May","May 2018",390,342.174801627393,334.064516129032,397.819319768419,392.048100249429
"151",2018-05-31,"2018","May","May 2018",425,342.174801627393,334.064516129032,400.226859964546,394.531634747998
"152",2018-06-01,"2018","Jun","Jun 2018",411,405.27012144396,400.266666666667,402.418909000021,396.793117180041
"153",2018-06-02,"2018","Jun","Jun 2018",389,405.27012144396,400.266666666667,404.386161692527,398.823848014329
"154",2018-06-03,"2018","Jun","Jun 2018",337,405.27012144396,400.266666666667,406.119312859265,400.61512771914
"155",2018-06-04,"2018","Jun","Jun 2018",345,405.27012144396,400.266666666667,407.609057317937,402.158256763266
"156",2018-06-05,"2018","Jun","Jun 2018",496,405.27012144396,400.266666666667,408.846089886072,403.44453561532
"157",2018-06-06,"2018","Jun","Jun 2018",408,405.27012144396,400.266666666667,409.8211053812,404.465264743916
"158",2018-06-07,"2018","Jun","Jun 2018",467,405.27012144396,400.266666666667,410.524798620896,405.211744617719
"159",2018-06-08,"2018","Jun","Jun 2018",377,405.27012144396,400.266666666667,410.947864422571,405.675275705218
"160",2018-06-09,"2018","Jun","Jun 2018",387,405.27012144396,400.266666666667,411.080997603825,405.847158475101
"161",2018-06-10,"2018","Jun","Jun 2018",342,405.27012144396,400.266666666667,410.914892982187,405.71869339598
"162",2018-06-11,"2018","Jun","Jun 2018",473,405.27012144396,400.266666666667,410.440245375185,405.281180936471
"163",2018-06-12,"2018","Jun","Jun 2018",457,405.27012144396,400.266666666667,409.647749600349,404.525921565188
"164",2018-06-13,"2018","Jun","Jun 2018",399,405.27012144396,400.266666666667,408.5281004751,403.44421575064
"165",2018-06-14,"2018","Jun","Jun 2018",486,405.27012144396,400.266666666667,407.071992817154,402.02736396162
"166",2018-06-15,"2018","Jun","Jun 2018",406,405.27012144396,400.266666666667,405.27012144396,400.266666666667
"167",2018-06-16,"2018","Jun","Jun 2018",430,405.27012144396,400.266666666667,403.117717468866,398.158022129772
"168",2018-06-17,"2018","Jun","Jun 2018",328,405.27012144396,400.266666666667,400.628157188498,395.715719796441
"169",2018-06-18,"2018","Jun","Jun 2018",378,405.27012144396,400.266666666667,397.8193531953,392.958646907558
"170",2018-06-19,"2018","Jun","Jun 2018",450,405.27012144396,400.266666666667,394.709218081448,389.905690703742
"171",2018-06-20,"2018","Jun","Jun 2018",413,405.27012144396,400.266666666667,391.315664439905,386.575738426384
"172",2018-06-21,"2018","Jun","Jun 2018",428,405.27012144396,400.266666666667,387.656604862868,382.987677316127
"173",2018-06-22,"2018","Jun","Jun 2018",363,405.27012144396,400.266666666667,383.749951942784,379.160394613854
"174",2018-06-23,"2018","Jun","Jun 2018",397,405.27012144396,400.266666666667,379.613618272096,375.11277756045
"175",2018-06-24,"2018","Jun","Jun 2018",309,405.27012144396,400.266666666667,375.265516442882,370.863713396438
"176",2018-06-25,"2018","Jun","Jun 2018",405,405.27012144396,400.266666666667,370.723559048308,366.432089363407
"177",2018-06-26,"2018","Jun","Jun 2018",403,405.27012144396,400.266666666667,366.005658680468,361.836792701899
